img,url,title,desc,date
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/cities/chennai/2022/jan/11/chennai-corpto-finish-relaying-roads-in-two-monthsofficials-2405435.html,Chennai Corp to finish relaying roads in two months: Officials,"The IAS officers, appointed to each zone to oversee the Covid-19 preventive measures, will also monitor the laying of roads. ",published on : 11th January 2022
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/cities/chennai/2022/jan/11/commuters-face-tough-time-navigating-perungudi-roads-2405434.html,Commuters face tough time navigating Perungudi roads,"Want to enjoy off-roading? All you need to do is head to the Corporation Road in Perungudi.
The back-breaking road has not been relaid for half a decade and is filled with craters and potholes.",published on : 11th January 2022
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/nation/2022/jan/10/rahul-gandhi-returns-from-abroad-reviews-poll-strategy-for-goa-2405252.html,"Rahul Gandhi returns from abroad, reviews poll strategy for Goa",The sources said Rahul Gandhi was abroad during the last few days for the New Year and returned last night.,published on : 10th January 2022
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/odisha/2022/jan/10/odisha-police-book-three-engineers-for-alleged-involvement-in-road-construction-scam-2405083.html,Odisha police book three engineers for alleged involvement in road construction scam,"The trio was booked under sections 420, 406 and 34 of the IPC basing on the FIR of Superintending Engineer of RD department of Jajpur and Kendrapara circle Sanjeeb Kumar Das.",published on : 10th January 2022
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/andhra-pradesh/2022/jan/10/ttd-to-reopen-alipiri-ghat-road-tomorrow-2405093.html,TTD to reopen Alipiri ghat road tomorrow,The Tirumala Tirupati Devasthanams (TTD) had diverted vehicular traffic to Tirumala through the link road to undertake repair works.,published on : 10th January 2022
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/andhra-pradesh/2022/jan/10/govt-sanctions-18841-cr-to-repair-82-roads-2405094.html,Govt sanctions Rs 188.41 cr to repair 82 roads,"62 roads in Krishna will be repaired with Rs 111.25 cr, Rs 77.16 cr to be used to maintain 20 roads under State Highways",published on : 10th January 2022
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/cities/bengaluru/2022/jan/10/shortfilm-life-at-crossroads-2404941.html,Shortfilm: Life at crossroads,"Independent filmmaker Pooja’s latest short film Amamma, starring Padma Shri B Jayashree is based on a sensitive topic of the elderly’s need for companionship.",published on : 10th January 2022
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/cities/chennai/2022/jan/10/road-over-bridge-construction-on-chennai-tiruvallur-high-road-causing-hardship-for-motorists-2405015.html,Road over bridge construction on Chennai-Tiruvallur High Road causing hardship for motorists,The ongoing works of road over bridge on Chennai - Tiruvallur High (CTH) Road is causing hardship to motorists in the western suburban areas.,published on : 10th January 2022
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/cities/chennai/2022/jan/10/toll-collection-on-outer-ring-road-from-today-2405014.html,Toll collection on Outer Ring Road from today,"The stretch, built at a cost of over Rs 1,000 crore, was inaugurated 10 months ago",published on : 10th January 2022
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/nation/2022/jan/09/tough-road-ahead-for-bjp-in-poll-bound-states-as-demands-yet-to-be-met-farmer-leaders-2404849.html,Tough road ahead for BJP in poll-bound states as demands yet to be met: Farmer leaders,"Samyukta Kisan Morcha (SKM), an umbrella body of 44 farm unions, will meet on January 15 to review the progress on pending demands and decide on the future course of action.",published on : 9th January 2022
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/kerala/2021/dec/04/kerala-couple-and-their-three-children-diesin-road-accident-in-saudi-arabia-2391822.html,Kerala couple and their three children dies in road accident in Saudi Arabia,The family was relocating to Jizan in southwestern Saudi Arabia after Jabir got transferred to a company there. ,published on : 4th December 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/nation/2021/dec/04/five-hospital-staff-killed-oneinjured-in-haryana-road-accident-2391672.html,"Five hospital staff killed, one injured in Haryana road accident",Five staffers of a private hospital in Gurugram were killed and one was severely injured in a road accident near Sadhrana village on Friday.,published on : 4th December 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/good-news/2021/nov/28/no-greater-work-than-saving-lives-this-odisha-manis-on-mission-to-save-road-accident-victims-2389064.html,'No greater work than saving lives': This Odisha man is on mission to save road accident victims,"In the last 16 years, 38-year-old Pankaj Kumar Tarai, a truck driver, has rescued 400 accident victims in Jagatsinghpur district of whom, 300 survived. ",published on : 28th November 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/nation/2021/nov/16/two-policemen-killed-four-injured-in-road-accident-in-jks-poonch-2384440.html,"Two policemen killed, four injured in road accident in J&K's Poonch","The accident took place at Drogzian village of Bufliaz area when the driver of one of the escort vehicles of the Senior Superintendent of Police, Poonch, lost control, the officials said.",published on : 16th November 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/nation/2021/nov/16/5-relatives-of-sushant-singh-rajput-killed-in-bihar-road-accident-2384384.html,5 relatives of Sushant Singh Rajput killed in Bihar road accident,"The SUV was badly mangled due to the impact of the collision. The truck driver and helper, however, managed to flee.",published on : 16th November 2021
https://images.newindianexpress.com/uploads/user/imagelibrary/logo/nie_logo_600X390.jpg,https://www.newindianexpress.com/states/andhra-pradesh/2021/nov/11/one-killed-and-four-injured-in-three-separate-road-accidents-in-andhras-krishna-district-2382171.html,One killed and four injured in three separate road accidents in Andhra's Krishna district,One person died and as many as four others sustained serious injuries in three different road mishaps reported in various parts of the district.,published on : 11th November 2021
