,Image Name,Image Source
0,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDHrQbm_AN2vK8KD1laVa-EpIufgTtDDJYjvqVbc4&usqp=CAU
1,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQA42duUHQjOZUN_jbSi22c1NWoqtHP-DnpLeih8TSDsRZeQEbR&usqp=CAU
2,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYvGi6cEMIEvdOvsYYEzcGvXkbxR9lbdiDndJXS4XB3e9Kye36&usqp=CAU
3,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxrhte2OgkXn4LjNzg7fGV_PZDR1t1pAphRkF-BLgRvL2GPAk0&usqp=CAU
4,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKaJ2ODn6hljjVVk3pL_xOqyl13mopa0glQfhpU2RiQDZofRp7&usqp=CAU
5,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYv9YFfu2yuivV5JYpzZftjKt4B5bYcJ79djOcB2cQe8NK4tVz&usqp=CAU
6,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHb7zOHEts2YjcHLBpFG5g6wzz88Rua3jYPVNPEZ5Kv3xA1vz5&usqp=CAU
7,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbyDAN1E8aQ_AbufIZlhuf0GbaSXqHtChGw6igiwomx4fK9D8y&usqp=CAU
8,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBvoR2Le4Gpskv06Kr8MZ8ux6IkVBL9WK99ZiNm-epQRrgfudI&usqp=CAU
9,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6tASiyy_6ENh5pUcJsV9EKgOtpVBAiHUIvBcD3k_MLGe_x898&usqp=CAU
10,Consequences of distracted driving > Ellsworth Air Force Base > Display,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXn4hCCX3gBe1g90PrIxdkKAf47Bjh6W5B4w&usqp=CAU
11,Top Driving Distractions EVER! - Comedy Traffic School®,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3RqR8Gx22zpuw-jhY8yYTnfroi5pODbijCQ&usqp=CAU
12,Overcoming driving distractions - Las Vegas Sun Newspaper,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRT2q-FxXzYsDfE4XbpcTsj0Zb52uA6OBhVfw&usqp=CAU
13,Is distracted driving as dangerous as drunk driving? :: WRAL.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRk74g0N5x6XrCtu7VTGtoD7Y0RgKEC3HbMmg&usqp=CAU
14,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNzDBMT5JZFdlxiZPxcDIRPlj9Ay-tSW01Mc896OE&usqp=CAU
15,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQT7QSltwDfy5UNvlHrWfE_3Cz2SLt0ydmD6xke8-sTofBpNwoK&usqp=CAU
16,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzLUkozbW4biptKFWXAAkhrXRCwo-ikEjsG_62wiui6uNNhzxH&usqp=CAU
17,Safety Thursday: 6 Tips To Reduce Distractions While Driving,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5GO0z6W0PUo55V7tBgyZ05PeK4Sh76VtQBA&usqp=CAU
18,"Avoiding distractions while driving could save your life! | Kelley  Insurance Agency in Everson, Washington",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeBJzN2IY61-3VZpzLhxG6dI2hZGTcKMdg0A&usqp=CAU
19,Distracted Driving | DriveSafe.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHDji7BQzRbwf3C-GVCF8aN-0UZrgebzBX9g&usqp=CAU
20,How can you avoid cognitive distractions while driving? | Virginia Personal  Injury Blog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQGfhExXWVkg_7KhSbIx5ZB2Uv_D02u1fWHQ&usqp=CAU
21,Nothing Artificial About Intelligence Reducing Distracted Driving |  WardsAuto,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlHl_MDzUwPU5ly3_WBZ6oXHQQeVhBJjm1cw&usqp=CAU
