,Image Name,Image Source
0,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdlyVJwd4Ub_i9dQ1WcHLCrCeyjcAKGICvsy5jN9TiA7USDUxL&usqp=CAU
1,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSU8SWUw6zfHdI0Ini5GRT4qEBN4m7TOvleqGD8TKa6KebLJxEi&usqp=CAU
2,Albany Distracted Driving Accident Lawyers | Car Accidents | Bader Scott  Injury Lawyers,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoVS1CSKJx6tbZLXPDHd6ARUZnj4r-MSoQfQ&usqp=CAU
3,Traffic police reminder: these three types of vehicles are not C1 quasi  driving models. They give 12 points when driving. Car owners should pay  attention,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmMHG8h-5nyCJSkDy5p9bdeEugbuvss2iv3w&usqp=CAU
4,Attention Driver Not Paying Photos - Free & Royalty-Free Stock Photos from  Dreamstime,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXRrL5iZe_7g2KmqhdbEiZZBzGy2rpj0ERBQ&usqp=CAU
5,Driver not paying attention hits stopped car at full speed. Kills a man.  Hours later cries on Facebook that his truck is totaled. - Imgur,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbl6mFyUeDtqcb4IkrBjFiaYrXb8yjcG5-fQ&usqp=CAU
6,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdY5IAwJtyCu4uB9svwVZ0InWYXov0zKvKqknBmXQxP0-A6pTE&usqp=CAU
7,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQc9c9EpFXnTmkVmUycxjc8cxPNGFxSj2WRa2qPkcYQwwJApcTp&usqp=CAU
8,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVPmASl9iSEkiw4Xm8wsPwYK2tpmqcJTZHfasCTCTS43EHF8_z&usqp=CAU
9,Attention Driver Not Paying Photos - Free & Royalty-Free Stock Photos from  Dreamstime,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRea5Ykh7pRCSsn7kndFcSXvB-jmrkLAHjRkg&usqp=CAU
10,Attention Driver Not Paying Photos - Free & Royalty-Free Stock Photos from  Dreamstime,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2IEAfT0r3kOVCQG-YKdaju1DrBHuCCfuL5Q&usqp=CAU
11,Fatal Semi Truck Accident in Pasco Due to Driver Not Paying Attention,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS52q375M-EomNNROhH8MKPfjnQcyeGcB949A&usqp=CAU
12,Driver man paying attention to road Stock Photo - Alamy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScHYiDYVVZf3i0ft8eUrz1TzsvD3gRr89xtA&usqp=CAU
13,Pay Attention! It's Distracted Driving Awareness Month | Chronicle,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFKy70mrpdvpcLeTDqvWbi4UYNAyPmGdGB7g&usqp=CAU
14,"White Van Damaged After A Rear-end Collision When The Other Driver Was Not  Paying Attention And Did Not Brake Stock Photo, Picture And Royalty Free  Image. Image 114562330.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9sOOrzTya5Qs_GG1tas8CsiZk62Z3BRHl9w&usqp=CAU
15,Door Dasher gets rear ended bad by someone who was not paying attention:  IdiotsInCars,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReBKOcf37DVRriLnLuWTjSF3WXHcXJ4NndDw&usqp=CAU
16,Common Mistakes To Avoid When You Are Driving by ldriving - issuu,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQf4qhXOMBv2zI4S6ZENM8Ddp0Mtvu5mE4mXQ&usqp=CAU
17,Driver not paying attention while stopped at light - YouTube,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9_zzcn4MDz0i_82C_eSdeA7A6MKEXPDhhJg&usqp=CAU
18,This Car Senses When You're Not Paying Attention and Slows Down | WIRED,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRceXoCStugm6QZLLLoJUnNQjYxqkO-zhDFKQ&usqp=CAU
19,Boat driver not paying attention: nononono,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxw2X69i3RLmsqvHLqZWZETSyTHkP84pVKnQ&usqp=CAU
20,Shaming Drivers On Phones - Home | Facebook,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSt8HiE7WdL8gn3jFXGJTFRHIE2M4Jk0IBRTg&usqp=CAU
21,"Black Modern Car Scratched In Traffic Accident. The Driver Does Not Pay  Attention, The Vehicle Has Also Very Old Cracked Tyres. Stock Photo,  Picture And Royalty Free Image. Image 120038212.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFVQA1aaeZa9BX2uR_5BU9yIxsIdmRJfI_UQ&usqp=CAU
22,IIHS: Attention Slips As Drivers Get Used To Level 2 Automation -  CleanTechnica,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRM-qfX5UVwlzxl72UeFr8oTQ1P_UWMvKxVhw&usqp=CAU
23,This device uses AI to detect and stop distracted driving | Salon.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUJOPeG_W2F9kHEyqmVVfgHwIi3EUXz_FQCw&usqp=CAU
24,Driver Was Not Paying Attention And Drove Into The Back of Another Countach,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSd6MbrB5zaNkjttDaAun4snZfDmxZgUiKCiQ&usqp=CAU
25,"Driver Does Not Pay Attention And Crushes Child In China, Video Surfaces |  Thisbulletin",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlW2lZD1wC0L5WNOeGO21mY_oTIgftyKqoUg&usqp=CAU
26,Driver not paying attention. - Album on Imgur,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8qpu9GpNIMn6h9eL8PA-D7RA8Y73BDUhsOw&usqp=CAU
27,"Tesla driver blames Autopilot for crash, faces negligent driving charge |  Ars Technica",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBP-cGwyQxTzTCuHf-Hqm1wbYYV3Jcas0X0g&usqp=CAU
28,Attention Driver Not Paying Photos - Free & Royalty-Free Stock Photos from  Dreamstime,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFSj-G6MoQi8AuWBE1qag2E41QzwB37PhJqw&usqp=CAU
29,Driver Negligence in Maryland - Albers & Associates,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSb6SntjhgbJucsZH-tOgYSsvE6NPTUf0ST9g&usqp=CAU
30,To See and Not to See – Collision Avoidance and Inattentional Blindness |  Blog | Mobileye,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSp8tNwbOiPzBV-9wwHHTSlNWcjiWjWRX8Sig&usqp=CAU
31,Which one hurts the car by stepping on the gas pedal hard or stepping on  the gas pedal lightly?Old driver: Not paying attention to these points will  hurt the car - MINNEWS,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvkBQmcxBxXP-oUtcwJsNTsyVawohlcPgVjw&usqp=CAU
32,How Autonomous Vehicles Mitigate Distracted Driving | by Recogni Inc. |  Medium,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQetUD3G-w8JYl7sup0Qzke-K1inRUQsztQJg&usqp=CAU
33,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbYT6KT41to_5KyfKL5AvdrZ8JiU09RB4t9BWX9Yl3K2hjXroL&usqp=CAU
34,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJqAIVh9ioseogfTWLwCQo3OiwV7oHFWrpvZHuE4tXxTw1OxAd&usqp=CAU
35,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtz4q5emz-gNmSzMNhoGVzSOMQVBYyReoed17Xcknz4c-FhGL6&usqp=CAU
36,How to make smart cars safer: Let them watch you drive | The Star,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT91UyOrVZF16Obo87hOM8w-opGhfN3xScDLQ&usqp=CAU
37,General Motors to fit eye-tracking technology that reveals when driver is not  paying attention | Daily Mail Online,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgQW_27ELgmsnhk9M9j7yFUmlzh0mvap8Xsg&usqp=CAU
38,Driver on Cell Phone Texting Hits Pedestrian Stock Photo by ©forestpath  14120773,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR82zla8Rq1gGCxPQ8Mn1dqNaD8tLXRdvly0Q&usqp=CAU
39,Legal aspects of cars on autopilot after officials say driver was sleeping  in Tesla,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZLIG4KNGvbV367gXfLRw0mKk7Kv-v1fSNrA&usqp=CAU
