,Image Name,Image Source
0,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0Rzt3yC90t7TwR-NKntPgkDx8R9Pfe52AmGXuHfrGHRDG1aiK1w&usqp=CAU
1,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUsH1o-iAaJcT2CeeZzBKdEMDxiUELF5lDA_w8_wuzwBEPD3Y9&usqp=CAU
2,How much YOU can really be penalised for using a mobile phone while driving  | Express.co.uk,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFJZgHZUYe-iHLckUzv7zrQvK4Xks_sTfW0Q&usqp=CAU
3,Drivers using phones as satnav face ban and £200 fine | Daily Mail Online,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlA_8xezSRc74ggfGJhLpDKWHWaAh4uBX4AQ&usqp=CAU
4,How the new law banning cellphone use while driving in Massachusetts  affects you - The Boston Globe,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtTbwVSIyLTcTjEWHVqPljv1oX-7_HWVMQWA&usqp=CAU
5,Ban on using cell phones while driving in South Dakota begins July 1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlOyVHoOR3pNzmGaOd5n9hR2gGF0jKPumuig&usqp=CAU
6,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQT7QSltwDfy5UNvlHrWfE_3Cz2SLt0ydmD6xke8-sTofBpNwoK&usqp=CAU
7,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRy-N7b7rR9vMiAE9VpGpPm4cp9OAbD8b5SPe4rvwZxFVF9oypu&usqp=CAU
8,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_ga-6JSZ5xmBzXPUpzNNCXg14JC_AeWkFb_OMDRbjTGXlvUHH&usqp=CAU
9,Car insurance premium can increase by 95 PER CENT a mobile phone driving  conviction | Express.co.uk,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTCbkHHVSViUQGZ9PjtzDipLMMlWlNp4CbCg&usqp=CAU
10,Comparing the cell phone driver and drunk driver - The Journalist's Resource,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSycThCrKN-ia5KKOfcAkyChItSwkekARUbA&usqp=CAU
11,Driver safety - mobile phones,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT03WhMvQuAGEqmQfher43_rj7eR9uYmTZ_zA&usqp=CAU
12,"A car driver is using a mobile phone, smartphone, while driving the car,  navigation app Stock Photo - Alamy",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnMKWe0b26YKmEJPbbjsXyAQDWIL4yBakssw&usqp=CAU
13,Distracted Driving | FMCSA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-Jt5cvTmREpC4feoJkEv3zREsnYVG669IIw&usqp=CAU
14,Texting and Driving Accident Statistics - Distracted Driving,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQco1GelJc5dEng3-oqhA7EDUrsxx6ocJKHXQ&usqp=CAU
15,Dangers of using mobile phones while driving | DriveRisk,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeqPgc5d5LucWnB5PH3Vo_3JD49NN3TUH4RA&usqp=CAU
16,Mobile Phone Use While Driving - SP Training,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtmrnfAAr83mxDcVkK28BZBi-VTzMSWx8CbA&usqp=CAU
17,Mobile phone use remains drivers' biggest annoyance,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSY3FUmeguwJPn-GZSn7wpIp-ZHImwVrwsvw&usqp=CAU
18,New road sign technology to combat drivers illegally using mobile phones -  Ebuyer Blog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjF5717gjGPSJifqfZ0g4fUWmkumTgvOYYnA&usqp=CAU
19,The Hands-Free Debate – Our Driving Concern,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1VXDUZgJbq8YsNSxF-tn1O04_UUt0RlsZTg&usqp=CAU
20,Distracted Driving,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYWY4UTQnrORem1UQVzW9XA4M9MPawzHmsYA&usqp=CAU
21,Study: Gen X drivers more likely to use phones while driving than younger  drivers,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKOskzUdya0AhKYxSHVgFI0ckkkfV6LjDeIg&usqp=CAU
22,Cell Phone Use: Hands-free is not Liability-free for Employers - East Coast  Risk Management,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSuyabPaG7YnudgtO3caLMtXPHrdZfVjSgvg&usqp=CAU
23,Australia Uses Technology to Catch Drivers Preoccupied with Phones,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2ZLG9t34Le1l4ZrtS_o6LI75mMbb-VZEU9Q&usqp=CAU
24,Why you really shouldn't use your mobile phone while driving - Car Advice |  CarsGuide,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTI15KWDo9AfV0_oVTtqmHm41KykkLtW5vJfw&usqp=CAU
25,Research into drivers flouting mobile phone laws prompts TAC warning - TAC  - Transport Accident Commission,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSL_TdPtSle8m-XzuH88oulxu504p5hznIDAA&usqp=CAU
26,Half a million drivers seen using a mobile phone at the wheel | Auto Express,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSm_FI86yTi1BWI2fdNTN-GvR9HmsYXZ97xoQ&usqp=CAU
27,Use Proper Cell Phone Etiquette to Avoid a Traffic Violation | Easley Law  Firm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwr66EQ9Y3q-xhJ9TnXRO3zbLMMmPNH_zpWw&usqp=CAU
28,"distracted driving: Yes, using mobile phones while driving is dangerous but  half of us use it anyway, finds study - Times of India",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaWKvf30jxtRCGiQVeTq9IhxOmj1zQb4yVdw&usqp=CAU
29,"A car driver is using a mobile phone, smartphone, while driving the car,  writing a SMS message Stock Photo - Alamy",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRR8XhzEh2W1YIjDys6xT_8OK5b7RErrgPXDA&usqp=CAU
30,Phone using drivers: a major source of distraction and a massive assault on  road safety – Making Traffic Safer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0g4N-d-K0XmnjafQHF0oACOHTY3jckg7oKQ&usqp=CAU
31,"Man Using Phone while Driving Car Stock Image - Image of window, trip:  122124767",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSg7HmTNVQaivd1OfoL7hs1CzgQ-aIgZH1Jyw&usqp=CAU
32,Thousands of drivers caught using a phone during first week of Australian  program | Traffic Technology Today,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSS4tQ2Ass7D4UJPXBKZipaBcYj1lKi6fClVQ&usqp=CAU
33,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbOgiEhWx2POmmtFCuHO0KgS7iabXgtQ8u73Zb9G1spN_eTI3p&usqp=CAU
34,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7LKZWb_3eb4qgfLAZz2SQgD0uf9YeO3cuuMW7HLg&usqp=CAU
35,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRz1QMDRcUDCnxRqlzSTTgPXV2i_NyLJK6jq-De-QWoE59b2Ul4&usqp=CAU
36,How Far Does Your Vehicle Travel While Looking at Your Cell Phone? - Fleetio,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKPOs4-4W7Zh3Kas-Ftr71MZZCHnUwaU8gNw&usqp=CAU
37,Smart cameras will catch drivers who use phones while driving - Inceptive  Mind,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiutbmd7DMVuPrDW4lgIcH8-WGWPPdSOG8jg&usqp=CAU
38,"People using mobile phones while driving remains a serious problem in  Latvia - Baltic News Network - News from Latvia, Lithuania, Estonia",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQotHSvETXA98Ly8qo2byxp_3SLk-W5yAB42A&usqp=CAU
39,Distracted Driving Worsens As Drivers Use Phones In Riskier Ways,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhYGualfG2Ty-BQMHzdKHMwole0R4H7VqUXQ&usqp=CAU
40,How dangerous are distractions when it comes to car accidents? – DeVaughn  James Injury Lawyers,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTv52Hb_U1N4CI9Umun-dwQNVYwsQLGK1sKmg&usqp=CAU
41,"Using Phone While Driving Images, Stock Photos & Vectors | Shutterstock",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmMNdRdqQTfD1EO-Iuyga43W7c2i4Hc9bJRg&usqp=CAU
42,Mobile phone driver distraction a road safety threat | News and media  centre | The NRMA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRg8S861tCisjGpfoIb0NSpYzsMBVToHpIc7A&usqp=CAU
43,Tougher penalties for smartphone use while driving take effect in Japan |  The Japan Times,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYbGgGWmGbIDPhg_1ngDVeYqDXB1-V9obesA&usqp=CAU
44,New camera tech could catch drivers using mobile phones,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-h2Txf7KZ3OjeIgCsHrs0zhlT_GILFUlowA&usqp=CAU
45,Dismissing the Risks of a Deadly Habit: Multitasking on the Road - The New  York Times,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNokL8aiaT30rYg632yhDI7cpwjy3oxQzC9w&usqp=CAU
46,Beverly Hills Police on Look-Out this Month for Drivers Using Cell Phones –  NBC Los Angeles,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHPAg9m9lbJUTPVGWIH8TFIxRJVkZeE033kA&usqp=CAU
47,Truck Driver Using Mobile Phone Stock Footage Video (100% Royalty-free)  2833570 | Shutterstock,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtkjPNpgxWLObRhOEwX-uGdU7m2Zxn4tghfA&usqp=CAU
48,Dangers of Using Cellphone While Driving Worse Than Feared,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWu3BfsUtZkAJC1EYox3mBtW2dQD5KoC0qKg&usqp=CAU
49,Distracted Driving Laws,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRv0fmYPa5UFQJXzWGUAuX8L33xVayqXb2PzA&usqp=CAU
50,New cameras detect thousands of drivers a day using their mobile phone  behind the wheel - ABC News,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQorYz3vQLdxgIdIOUfsyXRLbaOBvSX22q31g&usqp=CAU
51,Driver Using Gps Navigation In Mobile Phone While Driving Car Stock Photo -  Download Image Now - iStock,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQB1Wql9qOYVKRosgL6TR8-GRGIQ0ACAGTD3Q&usqp=CAU
52,Almost half of Delhi's drivers illegally use mobile phones while driving:  Survey | Latest News Delhi - Hindustan Times,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKLu1XfMicSY8_LDSyhew3_rREC0GxrNLJmQ&usqp=CAU
53,The only two instances when you can use a mobile phone at the wheel of a  car - Bristol Live,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRos4evA7YgFfqxJ69BswumL7Is-IRbuW5itA&usqp=CAU
54,Listen Up: New Law Requires Massachusetts Drivers to Use Phones Hands-Free  | BU Today | Boston University,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBmhN7FaKxXFNyC5zQThF9DouE7xvF8eXcpw&usqp=CAU
55,Truck driver holding mobile phone to show photo image_picture free download  501544476_lovepik.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRl--hHzVWlum9LDDLBpilne1bG2R-W4jNfuw&usqp=CAU
56,Why you really shouldn't use your mobile phone while driving - Car Advice |  CarsGuide,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmexpSpdtI-J-TRuz0JLMQ4R1giFI1W_SyjA&usqp=CAU
57,Cameras and A.I. to identify drivers using phones while driving,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6f_myyjUVBIV15ORdKn10RTlJlYm_zT0F4w&usqp=CAU
58,"Are you a CDL driver who has been charged with using a mobile phone while  driving? Are you charged with a texting violation? | Law Offices of Michael  Steven Sherman, P.C. |",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScVtzFv9cYjTYTNJojsdyG2-sVXt91rwrpYg&usqp=CAU
59,Over 85% of drivers regularly see people using phones behind the wheel,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSP7egJtpSG2QOFo8U0z82_av8HnWWad2zDLQ&usqp=CAU
60,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdXeNA2RWpVZbb9ALffkvOhn2noAk8f-liusC7jsjcIHeQU15p&usqp=CAU
61,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZ8CHVj92NVLh6MoXmV8M0lO7xAv3R8KM_tXeiQMI&usqp=CAU
62,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUb1DV0EofLxxcE9qpqDqLJM102pj_3vJNJFYkXElIkRW6yhyo&usqp=CAU
63,"Using phone while driving is not an offence - Punishable only if you cause  accident, says High Court",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWxYH5zNPm3McgjrgDud-Rno4ZVp5b4IUnIQ&usqp=CAU
64,Victoria uses AI to detect drivers using phones - Cities Today,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnGy3m8IEG-2pWf71AHoq6H6kvawMCybLYNw&usqp=CAU
