,Image Name,Image Source
0,"10 Most Dangerous Foods to Eat While Driving, According to NHTSA | Car News  | Auto123",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0e_Gg4ez8PehDITa76gSEc49Br5zaD0jnsw&usqp=CAU
1,Traffic Q&A: Surprise! Eating while driving illegal in Tacoma | Tacoma News  Tribune,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSP0meT4RPEAMk_Z-sGcnj9Tqg6eIm4gQRsuw&usqp=CAU
2,Food Related Car Accidents - Dangers of Eating and Driving,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTf2sawSm5tF4jBTNWwcni_BcmaNrvmIxB30A&usqp=CAU
3,Is Eating While Driving Illegal?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS95WY4pShMBYA2hZ0lwgysM_mR_MBX1XGhWg&usqp=CAU
4,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-tPPpnx5eba_kPfF-aheMIdTW9uEhb13T02SiDbH2F7bRveoC&usqp=CAU
5,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQw_8t2-_NX6YVl4F1cPCHXnxaeUPvL_QxfaAgQF8QZcOJS9hGm&usqp=CAU
6,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-tPPpnx5eba_kPfF-aheMIdTW9uEhb13T02SiDbH2F7bRveoC&usqp=CAU
7,How Common Are Car Accidents Due to Eating While Driving? | Law Team,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTgPTra22Xq-llGwuzqAyYsJTjfJoj0rkk7Q&usqp=CAU
8,"Can you eat or drink while driving, is it illegal and can you be fined? |  Express.co.uk",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSu3zXUQl5xLNmKp6zhCk5q6G7UzBzfb9s5kQ&usqp=CAU
9,Why Eating While Driving Is DANGEROUS For You?,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWrce6QeSHrdavrr9b2aQC7bFY1sGeoDUCgQ&usqp=CAU
10,The Dangers of Eating & Drinking Behind The Wheel | Distracted Driving,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1zsuROrXyF6j-I2PHoyjIK62D6mrL6YLeWQ&usqp=CAU
11,Is It Illegal to Eat and Drive? Food and Distracted Driving Laws – eTags –  Vehicle Registration & Title Services Driven By Technology,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnkoxhPysnmranuyXFpGNui5vCltuN3Iw5zg&usqp=CAU
12,Eating while driving can be as dangerous as texting: ICBC - 680 NEWS,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkQMG8ox_bR7TwjEjw3SCqw46iFFKCgLLEuQ&usqp=CAU
13,eating behind the wheel distracted driving accidents - Louisiana Personal  Injury Lawyers,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ93L0BU4lW3RyEuzi7hIDXy9aCY72NzzKG-w&usqp=CAU
14,Did You Know That You Can be Fined for Eating While Driving? - AH2 Legal -  Publications,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqdINEFCrJNLH14sUYG10o1LRZLdyN8TIVtg&usqp=CAU
15,New Jersey Might Actually Outlaw Eating While Driving,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCzVNuHYJKG9XnuQP8qPySWWr13v6e_wXsdg&usqp=CAU
16,A guide to eating while driving (if you must) - Smith & Company of Colorado,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTn1jug5hw6AgWPbum5Pixwceac65Dnu_p_bg&usqp=CAU
17,Is it Illegal to Eat while Driving in California? — The AK Blog,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkC-p84OJeAX_Jry7Q9b0GZizeQn8Q7BBqKQ&usqp=CAU
18,Eating And Driving: Is It Negligence? Brian D. Guralnick,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRibaCRJeEnXcqcBoyuP9E3BUfkBbV8q0BaYg&usqp=CAU
19,Distracted Eating? 20% Of All Meals Are Consumed While Driving - Why Hasn't  The NHTSA Moved To Ban The Drive Through? - AutoSpies Auto News,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDTUbOpAAVgzkPvZRcbhj7E5YwxNyCfiT7HQ&usqp=CAU
20,How Common Are Car Accidents Due to Eating While Driving? | Law Team,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSG6BMG7etd9YAYfHYAQDEWLbwJePMmYIWvA&usqp=CAU
21,Distracted Driving: Why Eating While Driving Should Be Illegal - Thrillist,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzIDAZ_yxKJtdtt2bL2DyvCvtV-f8-MUKwSA&usqp=CAU
22,Don't Eat and Drink While Driving - Carriage Trade Insurance Agency,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzoZgsXSFbi7WHQ_B6N_fcTBiI2r-xa9qIUw&usqp=CAU
23,Portrait Of Young Woman Eating While Driving Car Stock Photo - Download  Image Now - iStock,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTt36INPEtOyvLE85_CoA_Jyh9Z78oIp2mVeA&usqp=CAU
24,Multitasking' motorist fined for 'shovelling' food with chopsticks while  driving | CBC News,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTU-rW3w5tya39Xl61QMfhx00NfQ3lHUuZnHA&usqp=CAU
25,Is Eating While Driving Illegal In Georgia? | Atlanta Car Wreck Attorney,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVPcpJIQ_RdT7T_I9tOh0coQRGelf4XdBh3A&usqp=CAU
26,Eating While Driving - Home | Facebook,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9qew-G6pzgo_JhYQhdJs8JUiqBwaDcAqkzg&usqp=CAU
27,man eating and texting while driving car Stock Photo - Alamy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7QBfcq6EpIYkoGQU41VFqmRkgROB6lggSqA&usqp=CAU
28,Eating and Drinking While Driving Can Be Dangerous Distractions | James  Scott Farrin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTG8uvDee353n2My9jhViv6rk6-0bHgqGjo0Q&usqp=CAU
29,"Man is Eating Doughnut while Driving His Car Stock Photo - Image of hunger,  hungry: 114970584",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTct5WWqWbPcjewpcqcuJvqAKP6RryFxMZvnA&usqp=CAU
30,152 Eating While Driving Illustrations & Clip Art - iStock,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHEILKv2PfKAUoTsFN3G-wPfmyubjPuXTlvg&usqp=CAU
31,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdgm_k03hq53CfC4flhb7-GSb8VPxH-CCkcDhLyn-CZtqiAxao&usqp=CAU
32,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_ga-6JSZ5xmBzXPUpzNNCXg14JC_AeWkFb_OMDRbjTGXlvUHH&usqp=CAU
33,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTv9JDEj-hGD3jl5fsJ1r45Js8c7wAPdxBOrZxlYoRAM0uflu9&usqp=CAU
34,Guard against distracted driving from eating while driving | Bluedrop,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHPqJdFpEmJxQoZT30SLJMM0aeNEJzJEACpw&usqp=CAU
35,You Could Get Fined for Eating While Driving in South Dakota,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIT6p7Q4ty-8vppFIu3pEce7kS4ubbhHmfdw&usqp=CAU
36,Charge Dropped Against Man Ticketed for Eating While Driving - Alabama News,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3yLna21T4q9gvcc8LBLwOqn3nwXk-0ROk9g&usqp=CAU
37,Eating While Driving Is Reckless And Dangerous - Siegfried & Jensen,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZ5qUxQ1CcImbQxd71IRowwzAlKcCUw09GCA&usqp=CAU
38,Hungry man driving his car while eating food in the traffic. Man is  dangerously eating junk food and cold drink while driving | CanStock,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQB5LSPP1F_S5AWWT6cWZk8YEKUhsPkYp3FSA&usqp=CAU
39,Eating while driving - Emerge Insurance Agency,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKp7DHTxw308LAt_hYzvTfnihAcgtAaJfEuw&usqp=CAU
40,"Eating While Driving Images, Stock Photos & Vectors | Shutterstock",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQceIQj1ci9e3x_4uYGIQRJ3TmVvhDc9ql2ig&usqp=CAU
41,VIC Man Fined After Being Caught Eating Cereal While Driving With His Knees,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThOvUjsUIrplaQH5WWvZC1T96ud6jRpglKlQ&usqp=CAU
42,What's the Best Way to Stay Awake When Driving? – Cleveland Clinic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR27XomBIMAaDgpVPOvPM_DPfQBLYBHcvVKZA&usqp=CAU
43,Man is eating hamburger while driving his car Stock Photo - Alamy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjgePV0BGbZkI93qmYvEcfjHfaXJkWf5HKwQ&usqp=CAU
44,Distracted Driving: Eating and Drinking Behind the Wheel,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-T_5ulBQj1l1X3dmZY_OvT_6PneKmPboXlg&usqp=CAU
45,Studies Show Eating While Driving is Almost as Bad as Texting,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ89pmbXMsf6gZvHuMISkB8uAeWZlutdnIIdw&usqp=CAU
46,"Business Man Eating Pizza And Coffee While Driving A Car Dangerously Stock  Photo, Picture And Royalty Free Image. Image 131996568.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBl33KNQ8TX-chwYDZUpk3B58SSDujXu6bVw&usqp=CAU
47,These are the Worst Foods to Eat While Driving,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbUsqBO7wx64GYq90AjAn6NHbGYF0lGcwCUg&usqp=CAU
48,Healthy Snacks to Eat While Driving - On the Go Eating - Estee Bedding  Company,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0wRUWBBPvit0_1ATjDT5wZ6mEykY4_ZcuXA&usqp=CAU
49,Inattentive or Distractive Driving While Eating - Delaware Defensive Driving  Online Course,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-jZVwo2zv3wy8JFtlwK7Dtf8UNlrRHqJ-Fw&usqp=CAU
