,Image Name,Image Source
0,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUmh6XnHwo9genZMWeoYcbRVoO5Uojvj-XCUXdM1YgUOlw3viI&usqp=CAU
1,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7qeYWjq-ga7agfuGbxga3HmkwLsC6ifj9Nr8KM8o2l3QAXn7f&usqp=CAU
2,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLGbgg4rHEdB6irpSZahcAjRM2tBjrSU3Y2SCEWgUWSNDrQ8Mt&usqp=CAU
3,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTB00990q0Zyu6mrWDcjb1nNAdNuMgCcRLMKJExlifz4RfatCyE&usqp=CAU
4,Deaths in road accidents fell by 9% in 2 months of new Motor Vehicles Act:  Govt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuRVYIM94hKK3ZJXkLFje9L9uRONV1jkxLJw&usqp=CAU
5,IRF India expresses concern at increased number of fatal road Accidents in  the country - International Road Federation (IRF ),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTw2sShl1VwDL96JCawlmLl07BruR47L9WTg&usqp=CAU
6,Over 3.66 lakh road accidents caused about 1.32 lakh deaths in 2020: Govt |  India News - Times of India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJ3yCOv4WDNoqMsxvkbHGd-P2pBeqqdF-6TA&usqp=CAU
7,India's Horrific Road Accident Statistics Just Got Worse,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6IW0C-_AkkNvdIf4hVtoPl4Ret7LiySxnPw&usqp=CAU
8,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFyihZdBefSogG36HNdYfmMpCnT_SZ0C5KPS19Mcvln0Hi1FK4&usqp=CAU
9,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKhD0N5Fi7YoDPFpnJDpcNy5251RNq_hQwhkLDfwnyE3mZpjLO&usqp=CAU
10,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBw1lKUqUWs_9imKCrvHQ25oblwKKzJdeQ5i8_SOLEoQpvKxfk&usqp=CAU
11,More than 97k people died due to accidents caused by over speeding in 2018:  Data,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQc92Y0GmJPleMbj8byFqbY9AGSgmvF1i-HVQ&usqp=CAU
12,RoadSafetyWeek: Startling Facts About Road Accidents in India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUaJ-u3QVVIP2C_2ODrDQLHdlMNaTmZRxWJA&usqp=CAU
13,Traffic collisions in India - Wikipedia,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVg6XVTqNAgGaUxDA7tSS3sHkliDlguXeIBw&usqp=CAU
14,Road crashes in India increase household poverty and debt - The Statesman,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5p2AjK7emiBWcHXqYxyEARoDPycH1ZKyY2w&usqp=CAU
15,"More than 2,000 people killed in road accidents caused by potholes; 3  states account for maximum deaths - The Financial Express",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsmxfK8sA0keHddTszK8_RNzguWl3bJt-uEw&usqp=CAU
16,"Petition · Do you know 1,47,825 people die on Indian roads every year? ·  Change.org",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbE2cJ33PncVTAss1HylrCyI2qnKL3PTrUJQ&usqp=CAU
17,Road accidents in India decline for 2018 - But fatalities increase to 1.49L,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSS2c9EiilXsgE1HCfiTicGYrEtXWxfEBvQxg&usqp=CAU
